X,Y,objectid,name,address,address2,municipal,state,zipcode,recordtype,data_year,source,market_id,ebt,coupons,latitude,longitude,prim_type,prim_naics,sqft_range,idx_weight
162430.644900001585484,903309.158500000834465,5374,Bushnell Farms,26 Pommogussett Rd, ,Rutland,MA,01543,Unverified,2016,ReferenceUSA,0, , ,42.379384,-71.956194,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
110116.616099998354912,873085.482799999415874,5375,C & D Variety,115 Dwight St # 301, ,Springfield,MA,01103,Unverified,2016,ReferenceUSA,0, , ,42.10303,-72.586704,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
234448.470399998128414,894488.148400001227856,5376,C & J Superette,90 Glenway St, ,Dorchester,MA,02121,Verified,2016,ReferenceUSA,0, , ,42.300115,-71.082226,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
232386.633599996566772,904440.567699998617172,5377,C & M Caribbean Market,201 Highland Ave # A, ,Somerville,MA,02143,Unverified,2016,ReferenceUSA,0, , ,42.389802,-71.106674,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
169687.274400003254414,923555.451699998229742,5378,C & S Wholesale Grocery Distr,3 Warner Ln, ,Westminster,MA,01473,Unverified,2016,ReferenceUSA,0, , ,42.561966,-71.869144,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
236232.481600001454353,908111.424899999052286,5379,C & W Market Inc,12 Upham St, ,Malden,MA,02148,Unverified,2016,ReferenceUSA,0, , ,42.42268,-71.059738,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
246922.405299998819828,870143.785900000482798,5380,C J's Market,7 Marble St # B1, ,Whitman,MA,02382,Unverified,2016,ReferenceUSA,0, , ,42.080296,-70.932915,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
236374.886399999260902,900219.779599998146296,5381,C Mart 2 Supermarket,109 Lincoln St, ,Boston,MA,02111,Verified,2016,ReferenceUSA,0, , ,42.351628,-71.058504,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
236374.886399999260902,900219.779599998146296,5382,C Mart Supermarket,109 Lincoln St, ,Boston,MA,02111,Unverified,2016,ReferenceUSA,0, , ,42.351628,-71.058504,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
111253.9978,873576.387499999254942,5383,Cabrera Market,520 Union St, ,Springfield,MA,01109,Verified,2016,ReferenceUSA,0, , ,42.107579,-72.573029,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
118226.723899997770786,880187.654899999499321,5384,Cady Street Meat Market,16b Cady St, ,Ludlow,MA,01056,Verified,2016,ReferenceUSA,0, , ,42.167856,-72.489657,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
